Title,Yr,Dir,Link,audio,Number,Sektor,Märkus
E tu vivrai nel terrore - Laldilà The Beyond,1981,Fulci, L.,http://www.imdb.com/title/tt0082307/,,76,E-HERM,
Eastern Promises,2007,Cronenberg,http://www.imdb.com/title/tt0765443/,eng/eng,108,A-DYN,
El Cid,1961,Mann, A.,http://www.imdb.com/title/tt0054847/,eng,27,MAAP-PAIR,http://jupiter.neetud.com/2008/05/el-cid-1961.html
El Espanto surge de la tumba Horror Rises from the Tomb,1973,Aured, C.,http://www.imdb.com/title/tt0070039/,esp/eng,16,A-DYN,
El Espinazo del diablo,2001,Del Toro, G. ,http://www.imdb.com/title/tt0256009/,,35,A-DYN,
El Jorobado del la morgue Hunchback of the Morgue,1973,Aguirre, Javier ,http://www.imdb.com/title/tt0068772/,,14,A-DYN,
El Laberinto del Fauno,2006,Del Toro, G.,http://www.imdb.com/title/tt0457430/,,88,A-DYN,
El libro de piedra,1969,Taboada, C. E.,http://www.imdb.com/title/tt0242601/,spa/eng,,,
El Norte,1983,Nava, Gregory,http://www.imdb.com/title/tt0085482/,,,MAAP-PAIR,
El Orfanato,2007,Bayona,http://www.imdb.com/title/tt0464141/,esp/eng,27,A-DYN,http://jupiter.neetud.com/2008/09/el-orfanato-2007.html
El secreto del Dr. Orloff Dr. Orloffs Monster,1964,Franco, J.,http://www.imdb.com/title/tt0058563/,esp/eng,55,E-HERM,
Elizabeth I,2005,Hooper, Tom,http://www.imdb.com/title/tt0465326/,eng/est,,XRET,
Elizabeth: The Golden Age,2007,Kapur, S.,http://www.imdb.com/title/tt0414055/,eng/eng,125,HERN-KIRU,
Enemy Mine,1985,Petersen, W.,http://www.imdb.com/title/tt0089092/,eng/eng,,PAIS-RUMO,http://jupiter.neetud.com/2008/04/minu-vaenlane-1985.html
Erik the Viking,1989,Jones, Terry,http://www.imdb.com/title/tt0097289/,eng/eng,151,HERN-KIRU,
Escape to Athena,1979,Cosmatos, G. D.,http://www.imdb.com/title/tt0079117/,,91,A-DYN,
Evil Under the Sun,1982,Hamilton, Guy,http://www.imdb.com/title/tt0083908/,eng/fin,,XRET,
Extra Weird Sampler,,MIX,,,101,E-HERM,
Eyes Wide Shut,1999,Kubrick, S.,http://us.imdb.com/Title?0120663,,179,KIRV-MAAO,
