Title,Yr,Dir,Link,audio,Number,Sektor,Märkus
Ultimo tango a Parigi,1972,Bertolucci, B.,http://www.imdb.com/title/tt0070849/,,,A-DYN,
Un Chien andalou,1929,Bunuel, L.,http://www.imdb.com/title/tt0020530/,-/-,115,A-DYN,
Un Flic,1972,Melville,http://www.imdb.com/title/tt0067900/,fra/eng,,MAAP-PAIR,
Una Lucertola con la pelle di donna,1971,Fulci, L.,http://www.imdb.com/title/tt0067361/,ita/eng,69,E-HERM,
Una pistola per cento bare,1968,Lenzi,U.,http://www.imdb.com/title/tt0063439/,eng/-,195,KIRV-MAAO,
Valhalla,1986,Madsen, P.,http://www.imdb.com/title/tt0094238/,dan/,18,MAAP-PAIR,
Vampire Circus,1972,Hammer Box,http://www.imdb.com/title/tt0067924/,eng/-,,XBOX,
Vampires,1998,Carpenter, J.,http://www.imdb.com/title/tt0120877/,,83,A-DYN,
Vampyr,1932,Dreyer, Carl Theodor,http://www.imdb.com/title/tt0023649/,,164,A-DYN,
Vampyros Lesbos,1970,Franco, J.,http://www.imdb.com/title/tt0066380/,ger/eng,,XRET,
Vennad Karusüdamed,2005,Unt, R,http://www.imdb.com/title/tt0832522/,,173,TINK-YVER,
Versus,2000,Kitamura, R.,http://www.imdb.com/title/tt0275773/,jap/eng,182,KIRV-MAAO,
Vikaren,2007,Borendal, Ole,http://www.imdb.com/title/tt0478394/,dan/,,A-DYN,
Villa Rides,1968,Kulik, Buzz,http://www.imdb.com/title/tt0063775/,eng/-,118,KIRV-MAAO,
Viridiana,1961,Bunuel, Luis ,http://www.imdb.com/title/tt0055601/,,17,A-DYN,
Vuk,1981,Dargary, A.,http://www.imdb.com/title/tt0131636/,hun,eng/eng,23,A-DYN,http://jupiter.neetud.com/2008/09/vuk-1981.html
Wallace & Gromit in The Curse of the Were-Rabbit,2005,Park, N.,http://www.imdb.com/title/tt0312004/,eng/eng,54,PAIS-RUMO,
Warnung vor einer heiligen Nutte Beware of a Holy Whore,1971,Fassbinder, R. W.,http://www.imdb.com/title/tt0067962/,ger/eng,109,TINK-YVER,
Warui yatsu hodo yoku nemuru The Bad Sleep Well,1960,Kurosawa, A.,http://www.imdb.com/title/tt0054460/,jpn/eng,,XBOX,
Werewolf in London,1935,,http://www.imdb.com/title/tt0027194/,eng/eng,,XBOX,
Where is Freedom? Dovē la libertā...?,1954,Rosselini, R.,http://www.imdb.com/title/tt0044562/,ita/eng,,,
Worlds Greatest Animation,1994,Park, Nick,,eng/,71,PAIS-RUMO,
Woyzeck,1979,Hertzog, W.,http://www.imdb.com/title/tt0080149/,ger/eng,154,HERN-KIRU,
Yaju no seishun Youth of the Beast,1963,Suzuki, Seijun,http://www.imdb.com/title/tt0057697/,jap/eng,,RUND-TING,
Yojimbo,1961,Kurosawa, A.,http://www.imdb.com/title/tt0055630/,jap/eng,171,KIRV-MAAO,
Zolotoy telyonok Zolotoi teljonok,2005,,http://us.imdb.com/Title?0417381,rus/-,,XRET,
Zolotye roga,1972,Rou, A.,http://www.imdb.com/title/tt0069544/,rus/eng,62,PAIS-RUMO,
Zombie Holocaust,1980,Girolami, Marino,http://www.imdb.com/title/tt0079788/,,89,E-HERM,
Александр Невский Alekrandr Nevski,1938,,http://us.imdb.com/Title?0029850,rus/eng,,XRET,
Андрей Рублёв Andrei Rublev 2,1969,Tarkovski, A.,http://www.imdb.com/title/tt0060107/,rus/-,123,RUND-TING,
Брежнев Brezhnev,2005,,http://www.imdb.com/title/tt0456862/,rus/-,,XRET,
Вечера на хуторе близ Диканьки Vechera na khutore bliz Dikanki,1961,Rou, A.,http://www.imdb.com/title/tt0057637/,rus/eng,61,PAIS-RUMO,
Вий Viy,1967,Kropatšov,http://www.imdb.com/title/tt0062453/,rus/-,,XRET,http://jupiter.neetud.com/2007/12/vii-1967.html
Волшебная лампа Аладдина Aladdins Magic Lamp,1966,Rõtsajev, B.,http://www.imdb.com/title/tt0167482/,rus/-,133,RUND-TING,
ДАртаньян и три мушкетёра Three Musketeers,1978,Jungvald-Hilkevitch, G.,http://www.imdb.com/title/tt0076998/,rus/,145,HERN-KIRU,
Десять негритят Ten Little Niggers,1987,Govoruhhin, S.,http://www.imdb.com/title/tt0092879/,rus/-,59,E-HERM,http://jupiter.neetud.com/2008/08/kmme-neegrit-1987.html
Дети Арбата Deti Arbata,2004,Eshpaj, A.,http://us.imdb.com/Title?0459686,rus/-,,XRET,
Джентльмены удачи Dzhentelmeny udachi,1972,Serõi, Alekrandr,http://www.imdb.com/title/tt0068519/,rus/eng,77,RUND-TING,
Дикая охота короля Стаха Savage Hunt of King Stach 2,1979,Rubintšik, V.,http://www.imdb.com/title/tt0128164/,rus/eng,157,PAIS-RUMO,
Злой дух Ямбуя Zloy dukh yambuya,1977,Bunejev, Boriss,http://www.imdb.com/title/tt0316624/,rus/eng,105,A-DYN,http://jupiter.neetud.com/2008/12/jambui-me-paha-vaim-1977.html
Золотая баба Zolotaya baba,1986,Kobzev, Viktor,http://www.imdb.com/title/tt0092295/,rus/-,112,KIRV-MAAO,
Иван Грозный Ivan the Terrible,1944,,http://www.imdb.com/title/tt0037824/,rus/eng,,XRET,
Иван Грозный II Ivan the Terrible II,1958,,http://www.imdb.com/title/tt0051790/,rus/eng,,XRET,
Конец операций Резидент,1986,o: Heino Mandri,http://www.imdb.com/title/tt0266702/,rus/-,,,
Космический рейс Kosmitšeskii reis,1934,Žuravljov, V,http://www.imdb.com/title/tt0252612/,rus/eng,114,RUND-TING,
Лунная радуга Lunnaya raduga,1983,Jermaš, Andrei,http://www.imdb.com/title/tt0089618/,rus/eng,,,
Москва-Кассиопея kosmiline diloogia 1,1973,Viktorov, R.,http://www.imdb.com/title/tt0070413/,rus/eng,85,TINK-YVER,
Мушкетёры 20 лет спустя Musketeers 20 Years Later 2,1992,Jungvald-Hilkevitch, G.,http://www.imdb.com/title/tt0125418/,rus/-,141,HERN-KIRU,
Остров Island,2006,Lungin, P.,http://www.imdb.com/title/tt0851577/,rus/eng,117,KIRV-MAAO,
Отроки во вселенной kosmiline diloogia 2,1974,Viktorov, R.,http://www.imdb.com/title/tt0071957/,rus/eng,86,TINK-YVER,
Падение Берлина Fall of Berlin,1949,Tšiuareli, M.,http://www.imdb.com/title/tt0041727/,rus/-,174,TINK-YVER,
Пираты XX века Pirates of 20th Century,1979,Durov, B.,http://www.imdb.com/title/tt0151987/,rus/-,28,A-DYN,http://jupiter.neetud.com/2008/09/xx-sajandi-piraadid-1979.html
Самогонщики Moonshiners,1961,,http://www.imdb.com/title/tt0055400/,rus/-,,XRET,
Сволочи,2006,,http://us.imdb.com/Title?0460012,rus/-,,XRET,
Собачье сердце Sobachee serdtse,1988,Bortko, Vladimir,http://www.imdb.com/title/tt0096126/,rus/eng,120,A-DYN,
Судьба резидента Sudba rezidenta,1970,Dorman, Venjamin,http://www.imdb.com/title/tt0314736/,rus/-,,XRET,
Табор уходит в небо Queen of Gypsies,1975,Lotianu, Emil,http://www.imdb.com/title/tt0073781/,rus/fin,,XRET,
Чапаев Chapaev,1934,,http://us.imdb.com/Title?0024966,rus/eng,,XRET,
Mongol,2007,Bodrov,S.,http://www.imdb.com/title/tt0416044/,,161,A-DYN,
Star Wars V,1980,Kershner, I,http://www.imdb.com/title/tt0080684/,,87,HERN-KIRU,
The 3 Wolrds of Gulliver,1960,Sher, Jack,http://www.imdb.com/title/tt0053882/,,84,RUND-TING,
Mark of the Devil,1970,Armstrong, Michael,http://www.imdb.com/title/tt0065491/,,163,A-DYN,
Long Hair of Death, The,1964,Margheriti, A,http://www.imdb.com/title/tt0058307/,,99,MAAP-PAIR,
Angel for Satan,1966,Mastrocinque, Camille,http://www.imdb.com/title/tt0060109/,,100,MAAP-PAIR,
Amadeus,1984,Forman, Milos,http://www.imdb.com/title/tt0086879/,,99,E-HERM,
Godfather, The Pt1,1972,Coppola,http://www.imdb.com/title/tt0068646/,,165,A-DYN,
Godfather, The Pt2,1974,Coppola,http://www.imdb.com/title/tt0071562/,,166,A-DYN,
V nachale slavnykh del,1986,Gerassimov, Sergei,http://www.imdb.com/title/tt0171874/,rus/eng,98,E-HERM,
Mihai Vitaezul,1971,Nicolaescu, Sergiu,http://www.imdb.com/title/tt0066078/,rom/eng,103,MAAP-PAIR,
Lilovyy shar,1987,Arsjonov, Pavel,http://www.imdb.com/title/tt0093419/,,167,A-DYN,
Spy Who Came In from The Cold,1965,Ritt, Martin,http://www.imdb.com/title/tt0059749/,,75,PAIS-RUMO,
Jason and the Argonauts,1963,Chaffey, Don,http://www.imdb.com/title/tt0057197/,,168,A-DYN,
Jar City,2006,Kormakur, Baltasar,http://www.imdb.com/title/tt0805576/,,94,KIRV-MAAO,
Baader-Meinhof Complex,2008,Edel, Uli,http://www.imdb.com/title/tt0765432/,,185,E-HERM,
Rändaja,2010,Uppin, Robi,,est/,170,TINK-YVER,
Harakiri,1962,Kobayashi, Ma,http://www.imdb.com/title/tt0056058/,,95,KIRV-MAAO,
Star Wars IV,1977,Lucas, G,http://www.imdb.com/title/tt0076759/,,88,KIRV-MAAO,
Star Wars VI,1983,Marquand, R,http://www.imdb.com/title/tt0086190/,,105,MAAP-PAIR,
Wild Orchid,1990,King, Zalman,http://www.imdb.com/title/tt0100934/,,97,KIRV-MAAO,
Last Tango In Paris,1972,Bertolucci, B.,http://www.imdb.com/title/tt0070849/,,169,A-DYN,
Deserto del tatari,1976,Zurlini, Valerio,http://www.imdb.com/title/tt0074400/,,115,RUND-TING,
Mesrine,2008,Richet, J-F,http://www.imdb.com/title/tt1259014/,,79,PAIS-RUMO,
Marco Polo,1982,TV,http://www.imdb.com/title/tt0083446/,,19-22,L,
X-Files S1,,,,,13-18,L,
Propaganda in USSR animated,,,,,23-25,L,
Dark Star,1974,Carpenter, John,,,170,A-DYN,
4 Flies on Grey Velvet,1971,Argento, Dario,,,171,A-DYN,
Gatto Negro,1981,Fulci, Lucio,http://www.imdb.com/title/tt0080440/,,187,E-HERM,
